Key,HoldTime,FlightTime,DigraphLatency
o,0.0533,0.5455,0.5695
f,0.0991,0.2345,0.1887
g,0.0655,0.6113,0.645
i,0.0699,0.3907,0.3863
n,0.076,0.675,0.6689
n,0.1077,0.1639,0.1322
e,0.0999,0.1557,0.1635
r,0.0893,0.1926,0.2032
o,0.0612,1.2404,1.2685
f,0.1045,0.244,0.2007
a,0.1408,0.3552,0.3189
n,0.0503,0.0578,0.1483
a,0.1076,0.5139,0.4565
c,0.1156,0.2586,0.2505
o,0.0625,1.1489,1.202
n,0.0763,0.2044,0.1906
e,0.1137,0.1518,0.1144
t,0.0743,0.4722,0.5116
h,0.0822,0.1917,0.1838
i,0.0695,0.3981,0.4108
r,0.1019,0.1807,0.1482
t,0.073,0.1463,0.1752
y,0.0645,0.1554,0.1638
s,0.1078,1.8827,1.8394
p,0.0733,0.3139,0.3484
e,0.1117,0.1552,0.1168
c,0.1192,0.3681,0.3606
t,0.0597,0.1482,0.2077
r,0.0739,0.118,0.1037
e,0.0976,0.1895,0.1658
g,0.1076,0.4612,0.4512
u,0.0637,0.1157,0.1596
n,0.077,0.1918,0.1785
s,0.0825,0.2507,0.2452
h,0.0706,0.1409,0.1528
i,0.0639,0.3256,0.3323
p,0.0598,0.1814,0.1855
t,0.0771,1.6342,1.6168
h,0.0846,0.2268,0.0138
a,0.201,0.1027,0.2055
t,0.0756,0.2707,0.3824
p,0.0675,0.7372,0.7453
r,0.105,0.1849,0.1474
o,0.0645,0.133,0.1735
v,0.115,0.545,0.4946
i,0.0641,0.0981,0.149
d,0.1034,0.2476,0.2082
e,0.0803,0.1611,0.1842
s,0.0816,0.1732,0.1719
t,0.0736,0.2623,0.2703
h,0.056,0.1004,0.1179
e,0.1166,0.1685,0.108
f,0.1029,2.9842,2.9978
i,0.0658,0.2133,0.2504
r,0.1065,0.1799,0.1392
e,0.0949,0.1869,0.1986
s,0.1281,0.3301,0.2969
u,0.0588,0.1356,0.2048
p,0.082,0.6568,0.6337
p,0.0834,0.1511,0.1497
o,0.0907,0.1954,0.1881
r,0.1029,0.3536,0.3415
t,0.0742,0.1578,0.1866
f,0.0934,0.6922,0.673
o,0.0716,0.0909,0.1127
r,0.0972,0.1854,0.1598
c,0.0754,1.3011,1.3228
a,0.1113,0.2488,0.2129
t,0.0621,0.1217,0.171
i,0.0695,0.4109,0.4035
a,0.14,0.7751,0.7046
o,0.0598,0.0818,0.162
n,0.0549,0.5139,0.5188
p,0.0825,0.5539,0.5263
e,0.0941,0.2146,0.2031
i,0.0696,0.6249,0.6494
c,0.102,0.2645,0.2321
e,0.1253,0.2455,0.2222
a,0.0916,0.4641,0.4978
n,0.0604,0.0491,0.0802
d,0.1078,0.207,0.1596
g,0.0697,0.4905,0.5286
a,0.1162,0.1528,0.1063
z,0.1412,0.9083,0.8834
m,0.0617,0,0
e,0.1052,0.155,0.1115
a,0.1258,0.2176,0.197
n,0.0712,0.0808,0.1355
w,0.0934,0.667,0.6447
h,0.0547,0.0622,0.1009
i,0.0695,0.2347,0.2199
l,0.0796,0.1874,0.1773
e,0.1148,0.1709,0.1357
i,0.0353,0.2378,0.3174
n,0.0696,0.1893,0.1549
t,0.0956,0.3121,0.2861
h,0.0563,0.0729,0.1123
e,0.1134,0.1658,0.1087
m,0.0848,0.3719,0.4005
i,0.0561,0.2113,0.24
d,0.069,0.3331,0.3203
d,0.0952,0.1539,0.1277
l,0.0748,0.0827,0.103
e,0.0967,0.1325,0.1106
e,0.0956,0.2586,0.2597
a,0.0933,0.2021,0.2044
s,0.1022,0.1778,0.1689
t,0.0714,0.0826,0.1134
",",0.0503,0.8606,0.8817
s,0.1148,1.2147,1.1502
g,0.0821,0.2573,0.29
t,0.0575,0.1773,0.2019
p,0.075,0.4167,0.3992
a,0.1466,0.1769,0.1054
u,0.0708,0.1058,0.1816
l,0.0705,0.1949,0.1952
j,0.0686,0.4394,0.4413
a,0.1245,0.1789,0.1231
c,0.123,0.3616,0.3631
k,0.0627,0.1204,0.1807
s,0.1052,0.3002,0.2577
o,0.0648,0.1246,0.1651
n,0.0612,0.21,0.2136
l,0.0633,1.4409,1.4388
t,0.0643,0.395,0.3939
n,0.0686,0.6514,0.6471
v,0.0703,0.8813,0.8797
a,0.1037,0.1492,0.1158
s,0.1049,0.2193,0.2181
q,0.0891,0.5351,0.5509
u,0.065,0.1219,0.146
e,0.1246,0.2056,0.1461
z,0.1102,0.5169,0.5313
a,0.1064,0.8292,0.833
n,0.0603,0.0941,0.1403
d,0.1043,0.1434,0.0993
s,0.0909,0.3845,0.3978
t,0.061,0.0876,0.1175
a,0.085,0.1168,0.0928
f,0.0881,0.7612,0.7581
f,0.1135,0.1614,0.136
s,0.1163,2.1973,2.1945
g,0.0913,0.1503,0.1753
t,0.0652,0.1721,0.1983
g,0.069,0.3697,0.3658
r,0.1042,0.1982,0.163
i,0.0695,0.4282,0.4629
g,0.0675,0.5347,0.5367
g,0.082,0.1235,0.1091
s,0.1383,0.1908,0.1344
f,0.1135,1.354,1.3788
i,0.0586,0.1235,0.1784
g,0.0933,0.4345,0.3997
h,0.0551,0.062,0.1003
t,0.1116,0.1912,0.1346
t,0.0995,0.4944,0.5065
h,0.0592,0.0808,0.1211
e,0.1024,0.4499,0.4067
i,0.0509,0.0673,0.1189
r,0.0869,0.176,0.1399
w,0.0898,0.4451,0.4422
a,0.0982,0.2028,0.1944
y,0.0688,0.0793,0.1087
t,0.0793,0.7698,0.7593
o,0.0583,0.1326,0.1535
t,0.0589,0.3778,0.3772
h,0.0839,0.179,0.154
e,0.1253,0.1471,0.1058
c,0.092,0.8526,0.8859
a,0.0847,0.2304,0.2378
p,0.0577,0.4449,0.4718
t,0.0971,0.4641,0.4247
a,0.1092,1.0125,1.0005
l,0.0487,0.3059,0.3663
c,0.0965,0.6088,0.5611
i,0.0642,0.1062,0.1385
t,0.0833,0.2759,0.2568
y,0.068,0.1005,0.1158
o,0.0621,1.5308,1.5366
f,0.1024,0.1742,0.1339
t,0.0958,0.2659,0.2725
h,0.0641,0.1169,0.1487
e,0.1148,0.1558,0.1051
c,0.1223,0.4937,0.4861
o,0.0698,0.0957,0.1482
u,0.0657,0.2208,0.2249
n,0.0898,0.1992,0.1752
t,0.0707,0.2161,0.2352
r,0.0954,0.2253,0.2005
y,0.0584,0.0729,0.1099
a,0.1117,1.477,1.4237
l,0.0641,0.2416,0.2892
f,0.1068,0.7289,0.6861
u,0.0758,0.0848,0.1159
n,0.0886,0.2802,0.2674
a,0.1093,0.3047,0.2839
l,0.0525,0.0422,0.099
i,0.0635,0.219,0.208
w,0.0959,0.7973,0.7649
a,0.0653,0.1682,0.1988
s,0.083,0.1533,0.1356
e,0.0818,0.4226,0.4237
x,0.0992,0.2302,0.2129
e,0.0797,0.2023,0.2219
c,0.1094,0.2395,0.2098
u,0.0747,0.1484,0.1831
t,0.0646,0.205,0.215
e,0.0818,0.1448,0.1276
d,0.1129,0.1875,0.1565
i,0.0591,0.3026,0.3563
n,0.0692,0.184,0.1739
.,0.0721,1.1661,1.1632
t,0.077,0.3571,0.3521
h,0.0958,0.1946,0.1758
e,0.1004,0.1066,0.1021
y,0.0648,0.0935,0.1291
f,0.0709,0.5481,0.542
i,0.0569,0.1409,0.1549
r,0.1043,0.1747,0.1273
s,0.138,0.2389,0.2052
t,0.0636,0.07,0.1444
a,0.0942,0.7507,0.72
c,0.0975,0.2263,0.223
t,0.0672,0.7311,0.7614
t,0.0896,0.1424,0.1199
a,0.0976,0.087,0.079
c,0.1371,0.2919,0.2524
k,0.1098,0.4463,0.4736
a,0.1416,0.8391,0.8073
t,0.06,0.329,0.4107
e,0.1025,0.1517,0.1091
l,0.0874,0.2088,0.2239
e,0.1054,0.166,0.148
v,0.093,0.4612,0.4737
i,0.0658,0.0915,0.1187
s,0.1084,0.2425,0.1999
i,0.0682,0.1618,0.2021
o,0.0721,0.1472,0.1434
n,0.0696,0.1764,0.1789
s,0.1138,0.7193,0.675
t,0.0655,0.1363,0.1847
u,0.0688,0.3884,0.385
d,0.0887,0.2776,0.2577
i,0.0687,0.1308,0.1509
o,0.0716,0.1707,0.1678
w,0.118,1.8565,1.81
h,0.0836,0.1443,0.1788
e,0.0991,0.1738,0.1582
r,0.061,0.0487,0.0868
e,0.0764,0.153,0.1375
t,0.0675,0.4635,0.4724
h,0.0877,0.1823,0.1621
e,0.1175,0.1336,0.1038
y,0.0767,0.1003,0.141
b,0.0566,0.3819,0.4021
e,0.1325,0.1711,0.0952
l,0.086,0.706,0.7525
i,0.0764,0.2064,0.216
e,0.0822,0.3045,0.2987
v,0.0777,0.2513,0.2557
a,0.104,0.6799,0.6535
l,0.0624,0.0759,0.1175
a,0.1068,0.3552,0.3108
s,0.0805,0.1959,0.2222
s,0.0852,0.1375,0.1329
a,0.0948,0.1966,0.1869
d,0.0622,0.3223,0.355
w,0.1184,1.6115,1.5552
a,0.0956,0.19,0.2129
s,0.099,0.1632,0.1598
b,0.0521,0.3288,0.3758
r,0.1016,0.2662,0.2167
o,0.0585,0.1361,0.1793
a,0.0735,0.1517,0.1368
d,0.1,0.4263,0.3997
c,0.0965,0.5196,0.5231
a,0.0968,0.2207,0.2204
s,0.1482,0.2684,0.217
t,0.0607,0.1973,0.2849
i,0.0616,0.3696,0.3686
n,0.0742,0.1722,0.1597
g,0.1077,0.1744,0.1408
.,0.0563,0.2758,0.3273
t,0.0742,0,0
h,0.0894,0.1697,0.1546
e,0.115,0.1396,0.114
y,0.0591,0.0547,0.1107
t,0.0716,0.8258,0.8133
h,0.0833,0.1712,0.1595
e,0.139,0.182,0.1264
n,0.0609,0.0451,0.1232
r,0.0616,1.0018,1.0011
e,0.0943,0.1272,0.0945
s,0.1237,0.2296,0.2002
c,0.0911,0.4757,0.5083
u,0.0574,0.1308,0.1645
e,0.1081,0.1508,0.1001
a,0.1263,0.272,0.2538
s,0.0831,0.3804,0.4236
t,0.0729,0.1383,0.1484
r,0.063,0.1699,0.1798
a,0.1088,0.1724,0.1266
n,0.0799,0.1513,0.1801
d,0.112,0.1948,0.1627
e,0.0789,0.179,0.2121
d,0.0774,0.1507,0.1522
s,0.1,0.2796,0.2571
