Key,HoldTime,FlightTime,DigraphLatency
.,0.0708,1.0596,1.0655
w,0.1265,0.4684,0.4127
h,0.1675,0.6658,0.6248
i,0.1614,0.1189,0.125
l,0.1095,0.2683,0.3201
e,0.0834,0.1504,0.1765
e,0.0957,0.7192,0.707
s,0.0448,0.1636,0.2145
c,0.0976,0.3417,0.2889
a,0.0927,0.1916,0.1965
p,0.0951,0.4395,0.4372
i,0.0622,0.375,0.4078
n,0.0753,0.2911,0.278
g,0.086,0.2412,0.2306
i,0.1007,0.5345,0.5197
w,0.1443,0.0652,0.0217
w,0.1317,1.8031,1.8157
i,0.1103,0.7036,0.725
t,0.0861,0.108,0.1323
h,0.0856,0.177,0.1775
i,0.082,0.0,0.3912
k,0.1468,0.6163,0.5515
o,0.1291,0.1093,0.127
l,0.0947,0.2642,0.2986
a,0.1386,0.1851,0.1412
i,0.0766,0.1875,0.2495
t,0.1265,1.5188,1.4689
h,0.1201,0.0924,0.0988
e,0.0929,0.1852,0.2124
i,0.1369,0.2139,0.1699
r,0.0746,1.2391,1.3015
h,0.0949,0.9731,0.9527
e,0.0939,0.1092,0.1103
l,0.2599,0.523,0.357
i,0.1047,0.142,0.2972
c,0.1168,1.1069,1.0948
p,0.1128,0.2253,0.2293
o,0.0649,0.1792,0.2271
t,0.0873,0.393,0.3705
o,0.0947,0.3164,0.3091
r,0.0701,0.3019,0.3266
i,0.1088,2.6621,2.6234
s,0.1076,0.4805,0.4817
s,0.1212,0.8005,0.7868
h,0.1931,0.2788,0.2069
o,0.1753,0.1538,0.1716
t,0.1069,0.2848,0.3532
d,0.1378,0.9339,0.903
o,0.0891,0.537,0.5857
w,0.1242,0.1478,0.1128
n,0.0924,0.3907,0.4225
a,0.1067,0.5589,0.5446
n,0.1043,0.7232,0.7256
d,0.0793,0.7595,0.7845
t,0.1147,0.5524,0.5171
h,0.1076,0.0747,0.0818
e,0.0678,0.1515,0.1912
y,0.1053,0.1129,0.0754
f,0.1708,0.7824,0.7169
l,0.1027,0.1156,0.1837
e,0.0784,0.1969,0.2211
e,0.0648,0.18,0.1936
f,0.2175,0.5062,0.3534
r,0.118,0.1062,0.2058
o,0.0839,0.2082,0.2423
m,0.0886,0.2414,0.2367
u,0.0757,0.5641,0.577
l,0.0847,0.6005,0.5915
t,0.2131,0.7641,0.6356
r,0.1177,0.0902,0.1857
a,0.0742,0.2091,0.2526
s,0.1261,1.2404,1.1885
e,0.1028,0.1657,0.1889
a,0.0784,0.1003,0.1247
r,0.0853,0.2336,0.2267
c,0.0964,0.403,0.3919
h,0.0864,0.2117,0.2217
t,0.1199,0.8674,0.8339
e,0.1157,0.1003,0.1046
a,0.0952,0.2609,0.2814
m,0.0849,0.2977,0.3081
s,0.0793,0.1828,0.1883
.,0.0947,1.7325,1.7171
m,2.6945,0.6944,0.3081
e,0.0922,0.2858,0.2753
a,0.0874,0.2508,0.2556
n,0.0915,0.1686,0.1646
w,0.1126,0.5708,0.5496
h,0.1606,0.2043,0.1564
i,0.1674,0.124,0.1171
l,0.165,0.3168,0.3192
e,0.1076,0.1356,0.193
i,0.0953,0.571,0.5834
n,0.0951,0.1393,0.1395
h,0.0995,0.552,0.5476
t,0.0823,1.1913,1.2085
h,0.0874,0.1508,0.1457
e,0.0653,0.1151,0.1371
m,0.1801,0.9801,0.8653
i,0.1766,0.1313,0.1348
d,0.0908,0.2281,0.3138
d,0.0949,0.2083,0.2043
l,0.0965,0.2434,0.2418
e,0.0706,0.2034,0.2294
e,0.1206,0.6687,0.6187
a,0.1542,0.1149,0.0814
s,0.0991,0.2533,0.3083
t,0.1005,0.1871,0.1857
s,2.4529,2.1667,0.3083
G,0.0739,1.2561,1.2677
t,3.7694,0.2461,0.1857
p,0.1325,2.1124,2.0542
a,0.1477,0.1597,0.1445
u,0.046,0.5079,0.6096
l,0.0535,0.5187,0.5112
j,0.1067,1.2472,1.194
a,0.1218,0.1372,0.1221
c,0.0789,0.2534,0.2963
k,0.0692,0.5625,0.5722
s,0.1293,0.3587,0.2986
o,0.0946,0.1746,0.2093
n,0.0747,0.2743,0.2942
L,0.0775,3.6141,3.6112
T,0.0796,2.4315,2.4294
a,0.1222,3.8721,0.2334
s,0.0697,0.2121,0.2646
q,0.1143,1.7313,1.6867
u,0.1252,0.3712,0.3603
e,0.0827,0.1843,0.2269
z,0.118,0.9971,0.9618
a,0.182,1.9363,1.8723
n,0.098,0.1295,0.2135
d,0.1048,0.2285,0.2217
s,6.9374,1.2895,0.2646
t,0.0863,0.2414,0.2461
g,0.0871,1.2222,1.2213
g,0.1098,1.7661,1.7435
r,0.1099,0.1612,0.161
i,0.092,0.3201,0.3381
g,0.0913,0.8474,0.8481
g,0.069,0.1819,0.2041
s,0.0781,0.1746,0.1655
f,0.1449,1.8466,1.7798
i,0.1228,0.0828,0.1049
g,0.084,0.1231,0.1619
h,0.111,0.1605,0.1336
t,0.0788,0.1371,0.1693
t,0.1055,0.5063,0.4796
h,0.0879,0.0714,0.089
e,0.094,0.181,0.175
i,0.1214,0.5304,0.5029
r,0.089,0.1175,0.1499
w,0.1108,0.9497,0.928
a,0.1209,0.0978,0.0876
y,0.0577,0.4085,0.4717
t,0.1162,1.165,1.1066
o,0.0819,0.0974,0.1317
t,0.1006,0.4928,0.4741
h,0.0876,0.0764,0.0894
e,0.0701,0.1807,0.1982
c,0.1129,1.4454,1.4026
a,0.118,0.1343,0.1292
p,0.1618,0.3442,0.3003
i,0.0742,0.2132,0.3008
t,0.0957,0.6453,0.6238
a,0.116,0.1508,0.1305
l,0.0705,0.4889,0.5343
c,0.1628,0.687,0.5947
i,0.08,0.1001,0.1829
t,0.1055,0.2344,0.2089
y,0.0762,0.173,0.2023
o,0.117,1.7306,1.6897
f,0.0893,0.1078,0.1355
t,0.0909,0.3484,0.3469
h,0.095,0.1553,0.1512
e,0.0852,0.102,0.1118
c,0.1356,1.2045,1.1541
o,0.1372,0.1233,0.1218
u,0.0813,0.1918,0.2477
t,0.09,0.3968,0.3881
n,0.0879,1.1783,1.1804
t,0.1238,0.3674,0.3316
r,0.1,0.1959,0.2197
y,0.0758,0.2606,0.2848
a,10.058,1.8957,0.1305
l,0.0919,0.2152,0.2635
f,0.1685,2.3075,2.231
